,DRIVER_ID,AGE,NUMBER_OF_TRIPS,SAFETY_SCORE,REWARD_POINTS,TOTAL_MILES_DONE,MILES_IN_URBAN,MILES_IN_NIGHT,MILES DONE IN RURAL,ACCELERATION,BRAKING,CORNERING,SPEEDING,SEATBELT,DISTRACTION,NUMBER_OF_TICKETS_RECEIVED
0,200,54,825,92,9341,668074,985656,825054,2478784,48,61,4,40,41,8,19
1,201,21,232,94,2926,457748,269133,486095,1212976,50,59,24,73,25,4,0
2,202,43,734,51,5866,527962,359125,707468,1594555,13,25,54,1,57,49,23
3,203,20,481,83,875,855197,525276,773708,2154181,55,50,23,46,62,51,23
4,204,53,335,76,4016,756332,238520,269453,1264305,71,17,72,52,39,11,20
5,205,38,868,64,698,249979,48817,42889,341685,9,43,45,39,34,47,12
6,206,29,32,52,1378,161318,205750,888687,1255755,14,2,43,22,14,51,9
7,207,36,773,86,2186,844303,640123,141195,1625621,16,35,43,62,62,6,4
8,208,28,707,72,1448,235706,484205,261314,981225,37,51,51,45,58,15,3
9,209,28,620,58,8058,651695,91191,226307,969193,71,54,19,5,1,35,10
10,210,25,213,47,9218,883911,818510,495291,2197712,29,9,29,66,30,49,13
11,211,44,170,95,9492,354846,194153,314432,863431,4,33,50,36,35,1,19
12,212,32,316,51,6543,223901,154799,520911,899611,0,70,56,27,15,44,14
13,213,24,598,75,7362,665904,969676,885,1636465,57,3,73,13,33,42,9
14,214,43,191,78,5537,982336,133757,433336,1549429,61,35,28,73,73,35,7
15,215,35,280,98,2168,769940,578302,947916,2296158,17,45,69,13,64,9,12
16,216,26,348,80,1698,607893,974131,921814,2503838,59,64,65,67,13,68,24
17,217,51,236,71,305,558345,149014,106928,814287,48,51,44,10,27,57,15
18,218,40,755,75,4209,318376,11499,282672,612547,25,63,53,22,9,28,9
19,219,46,596,54,8191,30556,990117,906250,1926923,7,12,25,15,12,17,10
20,220,22,978,60,6944,765912,85857,723984,1575753,44,50,36,25,58,6,8
21,221,46,254,58,7738,831771,80552,686644,1598967,42,72,13,42,37,42,1
22,222,21,881,67,1856,117768,917968,912635,1948371,66,59,31,16,2,23,3
23,223,21,764,57,6910,128791,532696,197676,859163,35,59,12,38,36,64,12
24,224,21,237,55,4894,873950,596866,360476,1831292,68,11,7,42,68,27,19
25,225,52,283,83,1623,742952,367259,107626,1217837,13,28,70,55,72,38,10
26,226,47,20,79,6794,226598,250042,646661,1123301,2,69,34,2,52,60,16
27,227,32,169,55,1080,497224,799784,787894,2084902,55,67,11,54,24,2,20
28,228,20,992,60,9773,322223,907660,537973,1767856,21,6,46,39,42,50,15
29,229,45,58,90,2750,632276,123302,885872,1641450,0,73,34,47,57,72,14
30,230,22,298,82,7053,305358,974512,586164,1866034,52,71,73,61,46,61,6
31,231,35,220,58,9174,153571,952183,42969,1148723,43,7,23,18,16,5,15
32,232,48,328,76,6464,727073,971175,720747,2418995,39,42,24,10,34,51,17
33,233,31,153,96,7637,55875,823507,245221,1124603,67,65,10,20,47,27,15
34,234,49,332,62,628,686006,247268,543320,1476594,47,39,67,11,35,51,3
35,235,52,303,59,7888,254144,536606,856631,1647381,63,60,69,73,14,41,17
36,236,24,906,52,9495,117472,568489,54097,740058,21,62,40,70,60,7,4
37,237,24,242,83,7278,633117,11435,747716,1392268,10,21,2,6,49,43,8
38,238,19,670,63,868,458880,501894,394414,1355188,73,55,65,42,3,17,11
39,239,35,763,68,8186,132704,800392,421387,1354483,5,22,33,26,14,49,14
40,240,22,304,54,9448,80557,630373,176555,887485,45,55,37,47,35,50,13
41,241,28,823,64,3671,511791,425955,570029,1507775,28,28,66,21,30,44,24
42,242,18,611,46,1437,985446,976246,772817,2734509,1,4,23,22,74,14,2
43,243,47,668,67,2060,504323,91614,131865,727802,55,65,11,59,46,10,7
44,244,44,13,61,6379,802767,568226,92173,1463166,68,3,69,38,39,0,23
45,245,52,663,50,6646,512657,896826,726338,2135821,41,54,10,52,41,42,7
46,246,38,512,50,7155,559989,683964,865407,2109360,44,52,53,20,2,20,14
47,247,27,863,98,1006,648432,494710,561122,1704264,67,2,26,72,11,19,8
48,248,18,742,78,6419,843535,493544,694845,2031924,62,40,26,48,35,17,0
49,249,25,964,87,3507,315176,739270,388963,1443409,59,23,56,42,35,46,7
50,250,27,949,92,6371,173414,872769,346131,1392314,21,71,7,37,30,11,1
51,251,47,628,76,2956,636423,718698,913514,2268635,54,7,31,64,39,18,1
52,252,35,119,92,4381,984322,90041,164306,1238669,61,17,8,33,66,14,21
53,253,29,977,78,6850,293307,927697,279447,1500451,50,5,22,35,61,50,14
54,254,52,307,78,3042,449184,322959,270763,1042906,15,5,46,19,22,44,20
55,255,21,600,50,7776,188825,900179,984733,2073737,50,11,64,38,48,44,5
56,256,44,675,77,4986,127373,49367,827099,1003839,33,35,34,34,63,8,4
57,257,22,524,55,3078,262581,98017,129677,490275,65,63,19,15,36,18,2
58,258,50,859,87,8348,834846,307868,466938,1609652,65,54,52,4,44,2,16
59,259,52,306,51,6282,292405,863353,328665,1484423,46,28,72,59,73,40,19
60,260,53,357,46,5769,812676,435307,656192,1904175,29,30,21,70,0,18,4
61,261,51,360,88,4949,44536,716430,564267,1325233,10,8,7,0,55,61,8
62,262,27,156,49,464,724635,183377,266148,1174160,63,38,6,30,41,39,5
63,263,37,296,96,55,803271,612180,262519,1677970,8,42,41,18,59,59,3
64,264,28,76,78,2538,148413,162007,329216,639636,16,8,7,11,23,42,17
65,265,50,431,78,8594,497659,908036,165178,1570873,44,7,4,41,45,25,24
66,266,47,267,53,4589,954412,223670,762969,1941051,57,38,28,33,15,12,0
67,267,49,526,77,3106,730817,283743,813123,1827683,46,41,29,26,25,43,2
68,268,28,136,88,6963,999370,920411,45216,1964997,55,69,0,10,16,7,19
69,269,53,243,81,7653,759247,761377,633295,2153919,35,13,52,22,73,30,19
70,270,19,116,98,957,633402,706242,919517,2259161,58,56,53,16,58,1,4
71,271,27,673,59,9111,79152,880491,910104,1869747,34,18,0,7,16,22,16
72,272,27,951,57,7628,210653,2747,474255,687655,9,40,19,44,58,48,1
73,273,36,742,86,9306,544852,365022,777474,1687348,33,22,7,69,37,22,15
74,274,33,620,62,6682,431468,425785,597553,1454806,47,3,19,32,60,35,21
75,275,45,210,97,8545,512651,348747,896827,1758225,43,46,1,16,57,21,17
76,276,27,640,55,240,467460,453878,730046,1651384,8,9,27,45,70,57,2
77,277,49,620,58,2642,572711,857650,137844,1568205,31,23,30,40,10,11,20
78,278,49,284,89,6205,350112,865845,340843,1556800,45,62,14,71,37,2,19
79,279,20,151,91,2569,284441,796151,843740,1924332,9,44,11,11,68,50,13
80,280,19,446,54,7685,222283,728756,468380,1419419,3,52,68,73,12,51,13
